med_code_id,term,snomed_ct_concept_id,observations
35540,Unknown,,
105133,Unknown,,
4921,Unknown,,
8282,Unknown,,
2019,Unknown,,
21249,Unknown,,
3293,Unknown,,
104775,Unknown,,
39085,Unknown,,
25324,Unknown,,
40407,Unknown,,
16033,Unknown,,
3063,Unknown,,
1749,Unknown,,
36133,Unknown,,
16117,Unknown,,
33925,Unknown,,
27966,Unknown,,
5512,Unknown,,
45795,Unknown,,
9375,Unknown,,
8933,Unknown,,
55371,Unknown,,
22135,Unknown,,
3514,Unknown,,
102734,Unknown,,
23632,Unknown,,
46175,Unknown,,
22907,Unknown,,
9271,Unknown,,
59494,Unknown,,
37160,Unknown,,
99040,Unknown,,
3621,Unknown,,
104580,Unknown,,
45551,Unknown,,
52659,Unknown,,
46128,Unknown,,
48126,Unknown,,
58576,Unknown,,
20122,Unknown,,
29657,Unknown,,
8492,Unknown,,
12060,Unknown,,
39985,Unknown,,
25953,Unknown,,
11097,Unknown,,
60130,Unknown,,
104984,Unknown,,
59974,Unknown,,
4346,Unknown,,
62940,Unknown,,
39784,Unknown,,
54173,Unknown,,
28498,Unknown,,
26248,Unknown,,
54440,Unknown,,
68026,Unknown,,
38964,Unknown,,
92342,Unknown,,
13127,Unknown,,
95802,Unknown,,
43231,Unknown,,
40654,Unknown,,
57762,Unknown,,
13133,Unknown,,
104271,Unknown,,
10222,Unknown,,
19385,Unknown,,
9458,Unknown,,
9305,Unknown,,
54438,Unknown,,
11292,Unknown,,
7557,Unknown,,
34010,Unknown,,
93885,Unknown,,
11953,Unknown,,
13130,Unknown,,
50892,Unknown,,
10151,Unknown,,
44102,Unknown,,
43851,Unknown,,
50824,Unknown,,
61586,Unknown,,
43817,Unknown,,
32324,Unknown,,
15168,Unknown,,
2539,Unknown,,
36996,Unknown,,
11448,Unknown,,
13132,Unknown,,
59229,Unknown,,
46965,Unknown,,
35207,Unknown,,
30129,Unknown,,
47491,Unknown,,
24907,Unknown,,
18212,Unknown,,
38190,Unknown,,
9638,Unknown,,
18483,Unknown,,
53228,Unknown,,
98713,Unknown,,
18886,Unknown,,
67903,Unknown,,
103484,Unknown,,
100400,Unknown,,
98315,Unknown,,
64006,Unknown,,
109423,Unknown,,
6805,Unknown,,
17118,Unknown,,
108085,Unknown,,
104022,Unknown,,
19706,Unknown,,
101039,Unknown,,
102156,Unknown,,
11392,Unknown,,
42498,Unknown,,
37181,Unknown,,
54879,Unknown,,
85959,Unknown,,
21349,Unknown,,
48918,Unknown,,
18554,Unknown,,
18359,Unknown,,
7570,Unknown,,
106768,Unknown,,
53178,Unknown,,
90520,Unknown,,
104654,Unknown,,
107551,Unknown,,
73943,Unknown,,
21548,Unknown,,
107844,Unknown,,
16977,Unknown,,
104828,Unknown,,
2069,Unknown,,
28306,Unknown,,
25570,Unknown,,
12666,Unknown,,
5560,Unknown,,
15530,Unknown,,
104782,Unknown,,
49967,Unknown,,
16956,Unknown,,
104498,Unknown,,
53755,Unknown,,
8459,Unknown,,
103777,Unknown,,
35106,Unknown,,
55593,Unknown,,
73850,Unknown,,
40893,Unknown,,
61884,Unknown,,
7035,Unknown,,
50982,Unknown,,
24738,Unknown,,
23366,Unknown,,
102698,Unknown,,
18957,Unknown,,
64943,Unknown,,
107068,Unknown,,
19233,Unknown,,
55875,Unknown,,
59218,Unknown,,
66091,Unknown,,
59521,Unknown,,
36621,Unknown,,
9074,Unknown,,
36256,Unknown,,
13128,Unknown,,
91940,Unknown,,
22725,Unknown,,
46420,Unknown,,
18175,Unknown,,
63199,Unknown,,
57096,Unknown,,
4623,Unknown,,
38145,Unknown,,
18537,Unknown,,
6375,Unknown,,
46659,Unknown,,
43815,Unknown,,
41492,Unknown,,
46417,Unknown,,
108115,Unknown,,
108109,Unknown,,
63322,Unknown,,
2537,Unknown,,
28112,Unknown,,
10353,Unknown,,
27613,Unknown,,
96119,Unknown,,
108118,Unknown,,
108318,Unknown,,
38189,Unknown,,
103686,Unknown,,
97495,Unknown,,
95777,Unknown,,
24993,Unknown,,
46866,Unknown,,
46463,Unknown,,
70317,Unknown,,
109339,Unknown,,
88777,Unknown,,
60785,Unknown,,
39498,Unknown,,
9990,Unknown,,
47172,Unknown,,
37992,Unknown,,
10806,Unknown,,
94162,Unknown,,
15455,Unknown,,
21024,Unknown,,
50520,Unknown,,
9595,Unknown,,
37186,Unknown,,
25067,Unknown,,
20963,Unknown,,
37069,Unknown,,
1512,Unknown,,
2042,Unknown,,
5820,Unknown,,
18963,Unknown,,
2555,Unknown,,
93421,Unknown,,
103567,Unknown,,
7417,Unknown,,
70332,Unknown,,
41094,Unknown,,
2582,Unknown,,
8459,Unknown,,
14714,Unknown,,
49141,Unknown,,
109752,Unknown,,
32121,Unknown,,
19052,Unknown,,
61884,Unknown,,
95802,Unknown,,
94805,Unknown,,
68414,Unknown,,
36692,Unknown,,
105252,Unknown,,
22342,Unknown,,
21607,Unknown,,
59821,Unknown,,
99472,Unknown,,
33727,Unknown,,
2538,Unknown,,
23366,Unknown,,
57290,Unknown,,
7849,Unknown,,
16860,Unknown,,
11272,Unknown,,
405,Unknown,,
59824,Unknown,,
